                         CADASTRO DE PRODUTOS DA POF 2008-2009;;;;;;;;
;;;;;;;;
( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO );;;;;;;;
(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3) ;;;;;;;;
;;;;;;;;
;;;;;;;;
QUADRO;GRUPO;Quadro_2dig_txt;CÓDIGO;codigo_txt;Complete_item_code;PRODUTO;;
09;09;09;01401;01401;X0901401;CONSERTO DE FERRO ELETRICO (PECA+MAO-DE-OBRA);;
09;09;09;01501;01501;X0901501;CONSERTO DE FERRO ELETRICO (PECA);;
09;09;09;01601;01601;X0901601;CONSERTO DE FERRO ELETRICO (MAO-DE-OBRA);;
09;09;09;01701;01701;X0901701;CONSERTO DE ANTENA PARABOLICA (PECA+MAO-DE-OBRA);;
09;09;09;01801;01801;X0901801;CONSERTO DE ANTENA PARABOLICA (PECA);;
09;09;09;01901;01901;X0901901;CONSERTO DE ANTENA PARABOLICA (MAO-DE-OBRA);;
09;09;09;02001;02001;X0902001;CONSERTO DE TELEFONE (PECA+MAO-DE-OBRA);;
09;09;09;02101;02101;X0902101;CONSERTO DE TELEFONE (PECA);;
09;09;09;02201;02201;X0902201;CONSERTO DE TELEFONE (MAO-DE-OBRA);;
09;09;09;02301;02301;X0902301;CONSERTO DE PERSIANA (PECA+MAO-DE-OBRA);;
09;09;09;02401;02401;X0902401;CONSERTO DE PERSIANA (PECA);;
09;09;09;02501;02501;X0902501;CONSERTO DE PERSIANA (MAO-DE-OBRA);;
09;09;09;02601;02601;X0902601;CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (PECA+MAO-DE-OBRA);;
09;09;09;02701;02701;X0902701;CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (PECA);;
09;09;09;02801;02801;X0902801;CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (MAO-DE-OBRA);;
09;09;09;02901;02901;X0902901;MONTAGEM DE MOVEIS;;
09;09;09;03001;03001;X0903001;CONSERTO DE GELADEIRA (PECA+MAO-DE-OBRA);;
09;09;09;03101;03101;X0903101;CONSERTO DE GELADEIRA (PECA);;
09;09;09;03201;03201;X0903201;CONSERTO DE GELADEIRA (MAO-DE-OBRA);;
09;09;09;03301;03301;X0903301;CONSERTO DE FREEZER (PECA+MAO DE OBRA);;
09;09;09;03401;03401;X0903401;CONSERTO DE FREEZER (PECA);;
09;09;09;03501;03501;X0903501;CONSERTO DE FREEZER (MAO DE OBRA);;
09;09;09;03601;03601;X0903601;CONSERTO DE TELEVISAO (PECA+MAO-DE-OBRA);;
09;09;09;03701;03701;X0903701;CONSERTO DE TELEVISAO (PECA);;
09;09;09;03801;03801;X0903801;CONSERTO DE TELEVISAO (MAO-DE-OBRA);;
09;09;09;03901;03901;X0903901;CONSERTO DE TELAO (PECA+MAO-DE-OBRA);;
09;09;09;04001;04001;X0904001;CONSERTO DE TELAO (PECA);;
09;09;09;04101;04101;X0904101;CONSERTO DE TELAO (MAO-DE-OBRA);;
